original_paper	cite_titles	links
Open-source Tools for Training Resources–OTTR	Data science pedagogical tools and practices: A systematic literature review	https://link.springer.com/article/10.1007/s10639-023-12102-y
Open-source Tools for Training Resources–OTTR	Diversifying the genomic data science research community	https://genome.cshlp.org/content/32/7/1231.short
Open-source Tools for Training Resources–OTTR	[HTML][HTML] Ten simple rules for teaching an introduction to R	https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1012018
Open-source Tools for Training Resources–OTTR	[HTML][HTML] Motivation, inclusivity, and realism should drive data science education	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11101914/
Open-source Tools for Training Resources–OTTR	Empowering Learning: Standalone, Browser-Only Courses for Seamless Education	https://arxiv.org/abs/2311.06961
Open-source Tools for Training Resources–OTTR	Corrigendum: Diversifying the genomic data science research community	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9712628/
What's the best chatbot for me? Researchers put LLMs through their paces.	“HOT” ChatGPT: The promise of ChatGPT in detecting and discriminating hateful, offensive, and toxic comments on social media	https://dl.acm.org/doi/abs/10.1145/3643829
What's the best chatbot for me? Researchers put LLMs through their paces.	Evolution of Generative AI for Business Decision-Making: A Case of ChatGPT	https://publish.thescienceinsight.com/index.php/msbd/article/view/87
What's the best chatbot for me? Researchers put LLMs through their paces.	[HTML][HTML] Current evaluation and recommendations for the use of artificial intelligence tools in education	https://www.degruyter.com/document/doi/10.1515/tjb-2023-0254/html
What's the best chatbot for me? Researchers put LLMs through their paces.	[HTML][HTML] Accelerating editorial processes in scientific journals: Leveraging AI for rapid manuscript review	https://www.sciencedirect.com/science/article/pii/S2772906024003571
What's the best chatbot for me? Researchers put LLMs through their paces.	Tahap Pengetahuan Dan Tahap Kekerapan Penggunaan Aplikasi Dikuasakan/Dibantu Kecerdasan Buatan (Artificial Intelligence, AI) Dalam Kalangan Pelajar DIT & …	http://journalstem.net/ojs/index.php/pkb/article/view/44
What's the best chatbot for me? Researchers put LLMs through their paces.	[PDF][PDF] Oral Oncology Reports	https://www.researchgate.net/profile/Vini-Mehta/publication/380779402_Accelerating_Editorial_Processes_in_Scientific_Journals_Leveraging_AI_for_Rapid_Manuscript_Review/links/6651a712479366623a0e83d2/Accelerating-Editorial-Processes-in-Scientific-Journals-Leveraging-AI-for-Rapid-Manuscript-Review.pdf
Macrophages in SHH subgroup medulloblastoma display dynamic heterogeneity that varies with...	[HTML][HTML] Exosomal cargos-mediated metabolic reprogramming in tumor microenvironment	https://link.springer.com/article/10.1186/s13046-023-02634-z
Macrophages in SHH subgroup medulloblastoma display dynamic heterogeneity that varies with...	[HTML][HTML] Tumour-associated macrophages: versatile players in the tumour microenvironment	https://www.frontiersin.org/articles/10.3389/fcell.2023.1261749/full
Macrophages in SHH subgroup medulloblastoma display dynamic heterogeneity that varies with...	[HTML][HTML] Monocyte depletion enhances neutrophil influx and proneural to mesenchymal transition in glioblastoma	https://www.nature.com/articles/s41467-023-37361-8
