repo	timestamp	count_clones	uniques_clones	count_views	uniques_views
FredHutch/gimap	2024-11-17	1	1	15	2
FredHutch/gimap	2024-11-18	6	1	10	3
FredHutch/gimap	2024-11-20	6	1	51	4
FredHutch/gimap	2024-11-21	6	1	4	2
FredHutch/gimap	2024-11-22	15	3	6	2
FredHutch/gimap	2024-11-25	64	4	73	1
FredHutch/gimap	2024-11-19	NA	NA	6	1
FredHutch/gimap	2024-11-26	NA	NA	5	2
FredHutch/gimap	2024-11-27	NA	NA	4	3
FredHutch/pgmap	2024-11-20	27	1	14	2
FredHutch/pgmap	2024-11-21	1	1	NA	NA
FredHutch/pgmap	2024-11-26	1	1	NA	NA
FredHutch/pgmap	2024-11-17	NA	NA	6	1
FredHutch/pgmap	2024-11-18	NA	NA	10	1
FredHutch/pgmap	2024-11-19	NA	NA	1	1
FredHutch/pgmap	2024-11-25	NA	NA	3	1
FredHutch/pgmap	2024-11-27	NA	NA	5	1
fhdsl/metricminer	2024-11-18	6	2	21	2
fhdsl/metricminer	2024-11-25	5	1	20	4
fhdsl/metricminer	2024-11-27	45	5	32	1
fhdsl/metricminer	2024-11-19	NA	NA	5	3
fhdsl/metricminer	2024-11-20	NA	NA	2	2
fhdsl/metricminer	2024-11-21	NA	NA	2	2
fhdsl/metricminer-dashboard	NA	0	0	NA	NA
fhdsl/metricminer-dashboard	2024-11-18	NA	NA	1	1
fhdsl/metricminer-dashboard	2024-11-21	NA	NA	1	1
fhdsl/metricminer-dashboard	2024-11-22	NA	NA	1	1
fhdsl/metricminer-dashboard	2024-11-24	NA	NA	3	1
fhdsl/metricminer-dashboard	2024-11-25	NA	NA	5	2
fhdsl/metricminer-dashboard	2024-11-29	NA	NA	1	1
fhdsl/metricminer.org	2024-11-19	1	1	NA	NA
fhdsl/metricminer.org	2024-11-24	1	1	NA	NA
fhdsl/metricminer.org	NA	NA	NA	0	0
jhudsl/OTTR_Template	2024-11-17	1	1	1	1
jhudsl/OTTR_Template	2024-11-19	NA	NA	4	3
